Input arguments:
id               resnet50_ppm
arch_encoder     resnet50
arch_decoder     ppm
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 8
segm_downsampling_rate 8
random_flip      True
seed             304
ckpt             ./ckpt
disp_iter        20
Model ID: resnet50_ppm-resnet50-ppm-ngpus2-batchSize4-imgMaxSize1000-paddingConst8-segmDownsampleRate8-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 4.49, Data: 0.71, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 42.73, IOU: 0.000395 Loss: 0.977586
Epoch: [1][440/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019208, lr_decoder: 0.019208, Accuracy: 54.09, IOU: 0.001086 Loss: 0.570599
Epoch: [1][460/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019172, lr_decoder: 0.019172, Accuracy: 55.24, IOU: 0.001152 Loss: 0.557432
Epoch: [1][480/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019136, lr_decoder: 0.019136, Accuracy: 56.38, IOU: 0.001168 Loss: 0.548144
Saving checkpoints...
Epoch: [2][0/500], Time: 0.38, Data: 0.00, lr_encoder: 0.019100, lr_decoder: 0.019100, Accuracy: 79.36, IOU: 0.003206 Loss: 0.097000
Epoch: [2][20/500], Time: 0.67, Data: 0.05, lr_encoder: 0.019063, lr_decoder: 0.019063, Accuracy: 77.03, IOU: 0.001863 Loss: 0.225768
Epoch: [2][40/500], Time: 0.66, Data: 0.05, lr_encoder: 0.019027, lr_decoder: 0.019027, Accuracy: 77.52, IOU: 0.001671 Loss: 0.275783
Epoch: [2][60/500], Time: 0.66, Data: 0.05, lr_encoder: 0.018991, lr_decoder: 0.018991, Accuracy: 78.03, IOU: 0.001752 Loss: 0.268018
Epoch: [2][80/500], Time: 0.66, Data: 0.05, lr_encoder: 0.018955, lr_decoder: 0.018955, Accuracy: 79.34, IOU: 0.001936 Loss: 0.248866
Epoch: [2][100/500], Time: 0.65, Data: 0.05, lr_encoder: 0.018918, lr_decoder: 0.018918, Accuracy: 80.02, IOU: 0.002030 Loss: 0.230970
Epoch: [2][120/500], Time: 0.65, Data: 0.05, lr_encoder: 0.018882, lr_decoder: 0.018882, Accuracy: 80.60, IOU: 0.002202 Loss: 0.232580
Epoch: [2][140/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018846, lr_decoder: 0.018846, Accuracy: 80.81, IOU: 0.002200 Loss: 0.229423
Epoch: [2][160/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018810, lr_decoder: 0.018810, Accuracy: 80.68, IOU: 0.002242 Loss: 0.224460
Epoch: [2][180/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018774, lr_decoder: 0.018774, Accuracy: 80.96, IOU: 0.002311 Loss: 0.223253
Epoch: [2][200/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018737, lr_decoder: 0.018737, Accuracy: 81.34, IOU: 0.002358 Loss: 0.224288
Epoch: [2][220/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018701, lr_decoder: 0.018701, Accuracy: 81.71, IOU: 0.002446 Loss: 0.222297
Epoch: [2][240/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018665, lr_decoder: 0.018665, Accuracy: 81.54, IOU: 0.002412 Loss: 0.223839
Epoch: [2][260/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018628, lr_decoder: 0.018628, Accuracy: 81.23, IOU: 0.002449 Loss: 0.233878
Epoch: [2][280/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018592, lr_decoder: 0.018592, Accuracy: 81.11, IOU: 0.002523 Loss: 0.234512
Epoch: [2][300/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018556, lr_decoder: 0.018556, Accuracy: 80.93, IOU: 0.002519 Loss: 0.232098
Epoch: [2][320/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018520, lr_decoder: 0.018520, Accuracy: 81.09, IOU: 0.002475 Loss: 0.229602
Epoch: [2][340/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018483, lr_decoder: 0.018483, Accuracy: 81.32, IOU: 0.002486 Loss: 0.233122
Epoch: [2][360/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018447, lr_decoder: 0.018447, Accuracy: 81.37, IOU: 0.002467 Loss: 0.232910
Epoch: [2][380/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018411, lr_decoder: 0.018411, Accuracy: 81.52, IOU: 0.002493 Loss: 0.234606
Epoch: [2][400/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018374, lr_decoder: 0.018374, Accuracy: 81.80, IOU: 0.002482 Loss: 0.233294
Epoch: [2][420/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018338, lr_decoder: 0.018338, Accuracy: 82.06, IOU: 0.002504 Loss: 0.231355
Epoch: [2][440/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018302, lr_decoder: 0.018302, Accuracy: 82.15, IOU: 0.002534 Loss: 0.228465
Epoch: [2][460/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018265, lr_decoder: 0.018265, Accuracy: 82.22, IOU: 0.002538 Loss: 0.227640
Epoch: [2][480/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018229, lr_decoder: 0.018229, Accuracy: 82.47, IOU: 0.002615 Loss: 0.223795
Saving checkpoints...
Epoch: [3][0/500], Time: 0.31, Data: 0.00, lr_encoder: 0.018192, lr_decoder: 0.018192, Accuracy: 85.39, IOU: 0.000898 Loss: 0.178367
Epoch: [3][20/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018156, lr_decoder: 0.018156, Accuracy: 86.31, IOU: 0.003147 Loss: 0.143110
Epoch: [3][40/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018120, lr_decoder: 0.018120, Accuracy: 87.11, IOU: 0.003665 Loss: 0.139420
Epoch: [3][60/500], Time: 0.63, Data: 0.05, lr_encoder: 0.018083, lr_decoder: 0.018083, Accuracy: 86.67, IOU: 0.003651 Loss: 0.137368
Epoch: [3][80/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018047, lr_decoder: 0.018047, Accuracy: 87.37, IOU: 0.003705 Loss: 0.147361
Epoch: [3][100/500], Time: 0.62, Data: 0.05, lr_encoder: 0.018010, lr_decoder: 0.018010, Accuracy: 87.67, IOU: 0.003891 Loss: 0.150043
Epoch: [3][120/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017974, lr_decoder: 0.017974, Accuracy: 87.88, IOU: 0.003924 Loss: 0.147244
Epoch: [3][140/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017938, lr_decoder: 0.017938, Accuracy: 88.11, IOU: 0.003848 Loss: 0.146078
Epoch: [3][160/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017901, lr_decoder: 0.017901, Accuracy: 88.08, IOU: 0.003817 Loss: 0.151124
Epoch: [3][180/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017865, lr_decoder: 0.017865, Accuracy: 88.09, IOU: 0.003724 Loss: 0.156363
Epoch: [3][200/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017828, lr_decoder: 0.017828, Accuracy: 87.69, IOU: 0.003675 Loss: 0.150774
Epoch: [3][220/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017792, lr_decoder: 0.017792, Accuracy: 87.65, IOU: 0.003596 Loss: 0.151549
Epoch: [3][240/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017755, lr_decoder: 0.017755, Accuracy: 87.64, IOU: 0.003599 Loss: 0.157278
Epoch: [3][260/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017719, lr_decoder: 0.017719, Accuracy: 87.44, IOU: 0.003572 Loss: 0.159816
Epoch: [3][280/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017682, lr_decoder: 0.017682, Accuracy: 87.25, IOU: 0.003521 Loss: 0.161189
Epoch: [3][300/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017646, lr_decoder: 0.017646, Accuracy: 87.42, IOU: 0.003511 Loss: 0.161450
Epoch: [3][320/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017609, lr_decoder: 0.017609, Accuracy: 87.46, IOU: 0.003506 Loss: 0.161643
Epoch: [3][340/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017573, lr_decoder: 0.017573, Accuracy: 87.49, IOU: 0.003432 Loss: 0.163474
Epoch: [3][360/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017536, lr_decoder: 0.017536, Accuracy: 87.67, IOU: 0.003482 Loss: 0.161958
Epoch: [3][380/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017500, lr_decoder: 0.017500, Accuracy: 87.85, IOU: 0.003550 Loss: 0.159994
Epoch: [3][400/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017463, lr_decoder: 0.017463, Accuracy: 87.97, IOU: 0.003640 Loss: 0.157128
Epoch: [3][420/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017427, lr_decoder: 0.017427, Accuracy: 88.09, IOU: 0.003670 Loss: 0.155807
Epoch: [3][440/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017390, lr_decoder: 0.017390, Accuracy: 88.16, IOU: 0.003687 Loss: 0.154379
Epoch: [3][460/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017354, lr_decoder: 0.017354, Accuracy: 88.24, IOU: 0.003765 Loss: 0.160051
Epoch: [3][480/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017317, lr_decoder: 0.017317, Accuracy: 88.08, IOU: 0.003748 Loss: 0.160370
Saving checkpoints...
Epoch: [4][0/500], Time: 0.77, Data: 0.00, lr_encoder: 0.017280, lr_decoder: 0.017280, Accuracy: 89.68, IOU: 0.005529 Loss: 0.057138
Epoch: [4][20/500], Time: 0.65, Data: 0.05, lr_encoder: 0.017244, lr_decoder: 0.017244, Accuracy: 86.35, IOU: 0.003096 Loss: 0.180277
Epoch: [4][40/500], Time: 0.65, Data: 0.05, lr_encoder: 0.017207, lr_decoder: 0.017207, Accuracy: 86.03, IOU: 0.003075 Loss: 0.162726
Epoch: [4][60/500], Time: 0.65, Data: 0.05, lr_encoder: 0.017171, lr_decoder: 0.017171, Accuracy: 86.56, IOU: 0.003542 Loss: 0.162532
Epoch: [4][80/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017134, lr_decoder: 0.017134, Accuracy: 86.62, IOU: 0.003495 Loss: 0.156336
Epoch: [4][100/500], Time: 0.62, Data: 0.05, lr_encoder: 0.017097, lr_decoder: 0.017097, Accuracy: 87.27, IOU: 0.003623 Loss: 0.153011
Epoch: [4][120/500], Time: 0.63, Data: 0.05, lr_encoder: 0.017061, lr_decoder: 0.017061, Accuracy: 87.29, IOU: 0.003586 Loss: 0.158638
Epoch: [4][140/500], Time: 0.64, Data: 0.05, lr_encoder: 0.017024, lr_decoder: 0.017024, Accuracy: 87.20, IOU: 0.003590 Loss: 0.156489
Epoch: [4][160/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016987, lr_decoder: 0.016987, Accuracy: 87.55, IOU: 0.003599 Loss: 0.154162
Epoch: [4][180/500], Time: 0.64, Data: 0.05, lr_encoder: 0.016951, lr_decoder: 0.016951, Accuracy: 87.85, IOU: 0.003782 Loss: 0.150377
Epoch: [4][200/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016914, lr_decoder: 0.016914, Accuracy: 88.00, IOU: 0.003769 Loss: 0.152043
Epoch: [4][220/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016877, lr_decoder: 0.016877, Accuracy: 88.07, IOU: 0.003781 Loss: 0.158548
Epoch: [4][240/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016841, lr_decoder: 0.016841, Accuracy: 88.16, IOU: 0.003744 Loss: 0.158250
Epoch: [4][260/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016804, lr_decoder: 0.016804, Accuracy: 88.20, IOU: 0.003721 Loss: 0.161888
Epoch: [4][280/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016767, lr_decoder: 0.016767, Accuracy: 88.16, IOU: 0.003748 Loss: 0.160878
Epoch: [4][300/500], Time: 0.64, Data: 0.05, lr_encoder: 0.016731, lr_decoder: 0.016731, Accuracy: 88.14, IOU: 0.003754 Loss: 0.159029
Epoch: [4][320/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016694, lr_decoder: 0.016694, Accuracy: 88.24, IOU: 0.003746 Loss: 0.155208
Epoch: [4][340/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016657, lr_decoder: 0.016657, Accuracy: 88.44, IOU: 0.003838 Loss: 0.152735
Epoch: [4][360/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016620, lr_decoder: 0.016620, Accuracy: 88.55, IOU: 0.003847 Loss: 0.151220
Epoch: [4][380/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016584, lr_decoder: 0.016584, Accuracy: 88.63, IOU: 0.003885 Loss: 0.151479
Epoch: [4][400/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016547, lr_decoder: 0.016547, Accuracy: 88.70, IOU: 0.003797 Loss: 0.151814
Epoch: [4][420/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016510, lr_decoder: 0.016510, Accuracy: 88.77, IOU: 0.003861 Loss: 0.151063
Epoch: [4][440/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016473, lr_decoder: 0.016473, Accuracy: 88.87, IOU: 0.003877 Loss: 0.150002
Epoch: [4][460/500], Time: 0.63, Data: 0.05, lr_encoder: 0.016436, lr_decoder: 0.016436, Accuracy: 88.95, IOU: 0.003916 Loss: 0.147758
Epoch: [4][480/500], Time: 0.62, Data: 0.05, lr_encoder: 0.016400, lr_decoder: 0.016400, Accuracy: 88.96, IOU: 0.003919 Loss: 0.146845
Saving checkpoints...
Epoch: [5][0/500], Time: 0.72, Data: 0.00, lr_encoder: 0.016363, lr_decoder: 0.016363, Accuracy: 94.32, IOU: 0.005083 Loss: 0.028459
Epoch: [5][20/500], Time: 0.69, Data: 0.05, lr_encoder: 0.016326, lr_decoder: 0.016326, Accuracy: 89.73, IOU: 0.002927 Loss: 0.136638
Epoch: [5][40/500], Time: 0.67, Data: 0.05, lr_encoder: 0.016289, lr_decoder: 0.016289, Accuracy: 91.02, IOU: 0.003726 Loss: 0.143700
Epoch: [5][60/500], Time: 0.65, Data: 0.05, lr_encoder: 0.016252, lr_decoder: 0.016252, Accuracy: 90.91, IOU: 0.004018 Loss: 0.134658
Epoch: [5][80/500], Time: 0.65, Data: 0.05, lr_encoder: 0.016216, lr_decoder: 0.016216, Accuracy: 90.73, IOU: 0.004429 Loss: 0.123230
Epoch: [5][100/500], Time: 0.65, Data: 0.05, lr_encoder: 0.016179, lr_decoder: 0.016179, Accuracy: 91.04, IOU: 0.004645 Loss: 0.115892
Epoch: [5][120/500], Time: 0.65, Data: 0.05, lr_encoder: 0.016142, lr_decoder: 0.016142, Accuracy: 91.34, IOU: 0.004719 Loss: 0.115797
Epoch: [5][140/500], Time: 0.65, Data: 0.05, lr_encoder: 0.016105, lr_decoder: 0.016105, Accuracy: 91.27, IOU: 0.004923 Loss: 0.118261
Epoch: [5][160/500], Time: 0.65, Data: 0.05, lr_encoder: 0.016068, lr_decoder: 0.016068, Accuracy: 91.00, IOU: 0.004879 Loss: 0.120185
Epoch: [5][180/500], Time: 0.64, Data: 0.05, lr_encoder: 0.016031, lr_decoder: 0.016031, Accuracy: 91.08, IOU: 0.004848 Loss: 0.116848
Epoch: [5][200/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015994, lr_decoder: 0.015994, Accuracy: 91.21, IOU: 0.004905 Loss: 0.118064
Epoch: [5][220/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015957, lr_decoder: 0.015957, Accuracy: 91.05, IOU: 0.004904 Loss: 0.114502
Epoch: [5][240/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015920, lr_decoder: 0.015920, Accuracy: 91.01, IOU: 0.004804 Loss: 0.113837
Epoch: [5][260/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015884, lr_decoder: 0.015884, Accuracy: 91.10, IOU: 0.004784 Loss: 0.114002
Epoch: [5][280/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015847, lr_decoder: 0.015847, Accuracy: 91.02, IOU: 0.004884 Loss: 0.113166
Epoch: [5][300/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015810, lr_decoder: 0.015810, Accuracy: 91.03, IOU: 0.004858 Loss: 0.116443
Epoch: [5][320/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015773, lr_decoder: 0.015773, Accuracy: 91.00, IOU: 0.004819 Loss: 0.118445
Epoch: [5][340/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015736, lr_decoder: 0.015736, Accuracy: 90.94, IOU: 0.004859 Loss: 0.116196
Epoch: [5][360/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015699, lr_decoder: 0.015699, Accuracy: 90.90, IOU: 0.004896 Loss: 0.115518
Epoch: [5][380/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015662, lr_decoder: 0.015662, Accuracy: 90.96, IOU: 0.004857 Loss: 0.119744
Epoch: [5][400/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015625, lr_decoder: 0.015625, Accuracy: 90.71, IOU: 0.004772 Loss: 0.121110
Epoch: [5][420/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015588, lr_decoder: 0.015588, Accuracy: 90.71, IOU: 0.004782 Loss: 0.121378
Epoch: [5][440/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015551, lr_decoder: 0.015551, Accuracy: 90.80, IOU: 0.004818 Loss: 0.121157
Epoch: [5][460/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015514, lr_decoder: 0.015514, Accuracy: 90.73, IOU: 0.004770 Loss: 0.121987
Epoch: [5][480/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015477, lr_decoder: 0.015477, Accuracy: 90.75, IOU: 0.004780 Loss: 0.121465
Saving checkpoints...
Epoch: [6][0/500], Time: 0.50, Data: 0.00, lr_encoder: 0.015440, lr_decoder: 0.015440, Accuracy: 90.07, IOU: 0.010657 Loss: 0.027697
Epoch: [6][20/500], Time: 0.62, Data: 0.05, lr_encoder: 0.015403, lr_decoder: 0.015403, Accuracy: 90.92, IOU: 0.004564 Loss: 0.095319
Epoch: [6][40/500], Time: 0.65, Data: 0.05, lr_encoder: 0.015366, lr_decoder: 0.015366, Accuracy: 92.02, IOU: 0.004776 Loss: 0.106341
Epoch: [6][60/500], Time: 0.65, Data: 0.05, lr_encoder: 0.015328, lr_decoder: 0.015328, Accuracy: 91.80, IOU: 0.004414 Loss: 0.117618
Epoch: [6][80/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015291, lr_decoder: 0.015291, Accuracy: 91.85, IOU: 0.004509 Loss: 0.118452
Epoch: [6][100/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015254, lr_decoder: 0.015254, Accuracy: 92.07, IOU: 0.004837 Loss: 0.113643
Epoch: [6][120/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015217, lr_decoder: 0.015217, Accuracy: 92.00, IOU: 0.004714 Loss: 0.114261
Epoch: [6][140/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015180, lr_decoder: 0.015180, Accuracy: 92.15, IOU: 0.004989 Loss: 0.108640
Epoch: [6][160/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015143, lr_decoder: 0.015143, Accuracy: 92.33, IOU: 0.005161 Loss: 0.105268
Epoch: [6][180/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015106, lr_decoder: 0.015106, Accuracy: 92.43, IOU: 0.005274 Loss: 0.103284
Epoch: [6][200/500], Time: 0.64, Data: 0.05, lr_encoder: 0.015069, lr_decoder: 0.015069, Accuracy: 92.62, IOU: 0.005141 Loss: 0.104412
Epoch: [6][220/500], Time: 0.63, Data: 0.05, lr_encoder: 0.015031, lr_decoder: 0.015031, Accuracy: 92.71, IOU: 0.005148 Loss: 0.103768
Epoch: [6][240/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014994, lr_decoder: 0.014994, Accuracy: 92.59, IOU: 0.005169 Loss: 0.115151
Epoch: [6][260/500], Time: 0.64, Data: 0.05, lr_encoder: 0.014957, lr_decoder: 0.014957, Accuracy: 91.96, IOU: 0.004979 Loss: 0.118675
Epoch: [6][280/500], Time: 0.64, Data: 0.05, lr_encoder: 0.014920, lr_decoder: 0.014920, Accuracy: 91.64, IOU: 0.004861 Loss: 0.122972
Epoch: [6][300/500], Time: 0.64, Data: 0.05, lr_encoder: 0.014883, lr_decoder: 0.014883, Accuracy: 91.63, IOU: 0.004888 Loss: 0.122561
Epoch: [6][320/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014846, lr_decoder: 0.014846, Accuracy: 91.60, IOU: 0.004902 Loss: 0.121433
Epoch: [6][340/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014808, lr_decoder: 0.014808, Accuracy: 91.53, IOU: 0.004815 Loss: 0.122067
Epoch: [6][360/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014771, lr_decoder: 0.014771, Accuracy: 91.55, IOU: 0.004813 Loss: 0.122804
Epoch: [6][380/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014734, lr_decoder: 0.014734, Accuracy: 91.53, IOU: 0.004718 Loss: 0.121791
Epoch: [6][400/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014697, lr_decoder: 0.014697, Accuracy: 91.49, IOU: 0.004786 Loss: 0.120510
Epoch: [6][420/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014659, lr_decoder: 0.014659, Accuracy: 91.44, IOU: 0.004778 Loss: 0.119354
Epoch: [6][440/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014622, lr_decoder: 0.014622, Accuracy: 91.53, IOU: 0.004804 Loss: 0.119017
Epoch: [6][460/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014585, lr_decoder: 0.014585, Accuracy: 91.51, IOU: 0.004824 Loss: 0.117654
Epoch: [6][480/500], Time: 0.63, Data: 0.05, lr_encoder: 0.014548, lr_decoder: 0.014548, Accuracy: 91.54, IOU: 0.004874 Loss: 0.119324
Saving checkpoints...
Epoch: [7][0/500], Time: 0.72, Data: 0.00, lr_encoder: 0.014510, lr_decoder: 0.014510, Accuracy: 90.43, IOU: 0.003247 Loss: 0.092554
