Input arguments:
id               resnet50_c1
arch_encoder     resnet50
arch_decoder     c1
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 8
segm_downsampling_rate 8
random_flip      True
seed             304
ckpt             ./ckpt
disp_iter        20
Model ID: resnet50_c1-resnet50-c1-ngpus2-batchSize4-imgMaxSize1000-paddingConst8-segmDownsampleRate8-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.23, Data: 0.24, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 64.38, IOU: 0.000000 Loss: 1.430678
Epoch: [2][380/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018411, lr_decoder: 0.018411, Accuracy: 45.56, IOU: 0.000772 Loss: 0.634193
Epoch: [2][400/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018374, lr_decoder: 0.018374, Accuracy: 44.57, IOU: 0.000761 Loss: 0.634692
Epoch: [2][420/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018338, lr_decoder: 0.018338, Accuracy: 43.86, IOU: 0.000751 Loss: 0.632870
Epoch: [2][440/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018302, lr_decoder: 0.018302, Accuracy: 43.19, IOU: 0.000753 Loss: 0.626121
Epoch: [2][460/500], Time: 0.53, Data: 0.04, lr_encoder: 0.018265, lr_decoder: 0.018265, Accuracy: 42.71, IOU: 0.000751 Loss: 0.624222
Epoch: [2][480/500], Time: 0.53, Data: 0.04, lr_encoder: 0.018229, lr_decoder: 0.018229, Accuracy: 42.64, IOU: 0.000747 Loss: 0.617562
Saving checkpoints...
Epoch: [3][0/500], Time: 0.31, Data: 0.00, lr_encoder: 0.018192, lr_decoder: 0.018192, Accuracy: 55.99, IOU: 0.000000 Loss: 0.642458
Epoch: [3][20/500], Time: 0.51, Data: 0.04, lr_encoder: 0.018156, lr_decoder: 0.018156, Accuracy: 55.87, IOU: 0.000987 Loss: 0.491739
Epoch: [3][40/500], Time: 0.51, Data: 0.04, lr_encoder: 0.018120, lr_decoder: 0.018120, Accuracy: 50.19, IOU: 0.000941 Loss: 0.514728
Epoch: [3][60/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018083, lr_decoder: 0.018083, Accuracy: 54.24, IOU: 0.000879 Loss: 0.506268
Epoch: [3][80/500], Time: 0.51, Data: 0.04, lr_encoder: 0.018047, lr_decoder: 0.018047, Accuracy: 56.42, IOU: 0.000869 Loss: 0.497266
Epoch: [3][100/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018010, lr_decoder: 0.018010, Accuracy: 53.65, IOU: 0.000827 Loss: 0.509094
Epoch: [3][120/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017974, lr_decoder: 0.017974, Accuracy: 53.36, IOU: 0.000829 Loss: 0.500981
Epoch: [3][140/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017938, lr_decoder: 0.017938, Accuracy: 54.73, IOU: 0.000855 Loss: 0.500645
Epoch: [3][160/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017901, lr_decoder: 0.017901, Accuracy: 54.74, IOU: 0.000860 Loss: 0.488965
Epoch: [3][180/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017865, lr_decoder: 0.017865, Accuracy: 55.94, IOU: 0.000894 Loss: 0.473041
Epoch: [3][200/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017828, lr_decoder: 0.017828, Accuracy: 56.61, IOU: 0.000908 Loss: 0.470897
Epoch: [3][220/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017792, lr_decoder: 0.017792, Accuracy: 57.30, IOU: 0.000930 Loss: 0.465591
Epoch: [3][240/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017755, lr_decoder: 0.017755, Accuracy: 57.93, IOU: 0.000963 Loss: 0.453464
Epoch: [3][260/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017719, lr_decoder: 0.017719, Accuracy: 58.64, IOU: 0.000992 Loss: 0.447880
Epoch: [3][280/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017682, lr_decoder: 0.017682, Accuracy: 58.69, IOU: 0.001006 Loss: 0.442869
Epoch: [3][300/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017646, lr_decoder: 0.017646, Accuracy: 59.18, IOU: 0.001035 Loss: 0.453305
Epoch: [3][320/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017609, lr_decoder: 0.017609, Accuracy: 59.41, IOU: 0.001042 Loss: 0.451555
Epoch: [3][340/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017573, lr_decoder: 0.017573, Accuracy: 60.21, IOU: 0.001078 Loss: 0.446553
Epoch: [3][360/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017536, lr_decoder: 0.017536, Accuracy: 60.28, IOU: 0.001100 Loss: 0.439157
Epoch: [3][380/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017500, lr_decoder: 0.017500, Accuracy: 60.70, IOU: 0.001099 Loss: 0.440851
Epoch: [3][400/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017463, lr_decoder: 0.017463, Accuracy: 60.73, IOU: 0.001089 Loss: 0.437791
Epoch: [3][420/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017427, lr_decoder: 0.017427, Accuracy: 60.97, IOU: 0.001102 Loss: 0.431607
Epoch: [3][440/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017390, lr_decoder: 0.017390, Accuracy: 61.32, IOU: 0.001131 Loss: 0.426671
Epoch: [3][460/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017354, lr_decoder: 0.017354, Accuracy: 61.49, IOU: 0.001135 Loss: 0.474444
Epoch: [3][480/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017317, lr_decoder: 0.017317, Accuracy: 60.93, IOU: 0.001118 Loss: 0.480820
Saving checkpoints...
Epoch: [4][0/500], Time: 0.60, Data: 0.00, lr_encoder: 0.017280, lr_decoder: 0.017280, Accuracy: 60.20, IOU: 0.001289 Loss: 0.398294
Epoch: [4][20/500], Time: 0.55, Data: 0.04, lr_encoder: 0.017244, lr_decoder: 0.017244, Accuracy: 65.46, IOU: 0.001393 Loss: 0.332438
Epoch: [4][40/500], Time: 0.54, Data: 0.04, lr_encoder: 0.017207, lr_decoder: 0.017207, Accuracy: 68.52, IOU: 0.001280 Loss: 0.358436
Epoch: [4][60/500], Time: 0.54, Data: 0.04, lr_encoder: 0.017171, lr_decoder: 0.017171, Accuracy: 68.67, IOU: 0.001259 Loss: 0.383453
Epoch: [4][80/500], Time: 0.53, Data: 0.04, lr_encoder: 0.017134, lr_decoder: 0.017134, Accuracy: 68.80, IOU: 0.001325 Loss: 0.362673
Epoch: [4][100/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017097, lr_decoder: 0.017097, Accuracy: 68.06, IOU: 0.001338 Loss: 0.347376
Epoch: [4][120/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017061, lr_decoder: 0.017061, Accuracy: 68.05, IOU: 0.001333 Loss: 0.355340
Epoch: [4][140/500], Time: 0.52, Data: 0.04, lr_encoder: 0.017024, lr_decoder: 0.017024, Accuracy: 67.61, IOU: 0.001333 Loss: 0.354579
Epoch: [4][160/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016987, lr_decoder: 0.016987, Accuracy: 67.62, IOU: 0.001276 Loss: 0.363049
Epoch: [4][180/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016951, lr_decoder: 0.016951, Accuracy: 68.29, IOU: 0.001278 Loss: 0.364137
Epoch: [4][200/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016914, lr_decoder: 0.016914, Accuracy: 68.36, IOU: 0.001277 Loss: 0.361231
Epoch: [4][220/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016877, lr_decoder: 0.016877, Accuracy: 68.72, IOU: 0.001246 Loss: 0.355649
Epoch: [4][240/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016841, lr_decoder: 0.016841, Accuracy: 69.05, IOU: 0.001287 Loss: 0.356262
Epoch: [4][260/500], Time: 0.53, Data: 0.04, lr_encoder: 0.016804, lr_decoder: 0.016804, Accuracy: 69.14, IOU: 0.001264 Loss: 0.366051
Epoch: [4][280/500], Time: 0.53, Data: 0.04, lr_encoder: 0.016767, lr_decoder: 0.016767, Accuracy: 69.85, IOU: 0.001302 Loss: 0.362870
Epoch: [4][300/500], Time: 0.53, Data: 0.04, lr_encoder: 0.016731, lr_decoder: 0.016731, Accuracy: 70.53, IOU: 0.001320 Loss: 0.356227
Epoch: [4][320/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016694, lr_decoder: 0.016694, Accuracy: 70.69, IOU: 0.001328 Loss: 0.355219
Epoch: [4][340/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016657, lr_decoder: 0.016657, Accuracy: 70.69, IOU: 0.001336 Loss: 0.354639
Epoch: [4][360/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016620, lr_decoder: 0.016620, Accuracy: 70.81, IOU: 0.001338 Loss: 0.346739
Epoch: [4][380/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016584, lr_decoder: 0.016584, Accuracy: 70.54, IOU: 0.001329 Loss: 0.345888
Epoch: [4][400/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016547, lr_decoder: 0.016547, Accuracy: 70.79, IOU: 0.001359 Loss: 0.340919
Epoch: [4][420/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016510, lr_decoder: 0.016510, Accuracy: 71.30, IOU: 0.001397 Loss: 0.338147
Epoch: [4][440/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016473, lr_decoder: 0.016473, Accuracy: 71.38, IOU: 0.001418 Loss: 0.336272
Epoch: [4][460/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016436, lr_decoder: 0.016436, Accuracy: 71.44, IOU: 0.001395 Loss: 0.341165
Epoch: [4][480/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016400, lr_decoder: 0.016400, Accuracy: 71.60, IOU: 0.001392 Loss: 0.341266
Saving checkpoints...
Epoch: [5][0/500], Time: 0.53, Data: 0.00, lr_encoder: 0.016363, lr_decoder: 0.016363, Accuracy: 70.19, IOU: 0.000735 Loss: 0.263068
Epoch: [5][20/500], Time: 0.51, Data: 0.04, lr_encoder: 0.016326, lr_decoder: 0.016326, Accuracy: 73.67, IOU: 0.001564 Loss: 0.298904
Epoch: [5][40/500], Time: 0.50, Data: 0.04, lr_encoder: 0.016289, lr_decoder: 0.016289, Accuracy: 71.90, IOU: 0.001463 Loss: 0.414912
Epoch: [5][60/500], Time: 0.50, Data: 0.04, lr_encoder: 0.016252, lr_decoder: 0.016252, Accuracy: 68.07, IOU: 0.001458 Loss: 0.401282
Epoch: [5][80/500], Time: 0.51, Data: 0.04, lr_encoder: 0.016216, lr_decoder: 0.016216, Accuracy: 67.16, IOU: 0.001398 Loss: 0.406535
Epoch: [5][100/500], Time: 0.51, Data: 0.04, lr_encoder: 0.016179, lr_decoder: 0.016179, Accuracy: 67.53, IOU: 0.001465 Loss: 0.389810
Epoch: [5][120/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016142, lr_decoder: 0.016142, Accuracy: 67.69, IOU: 0.001451 Loss: 0.382453
Epoch: [5][140/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016105, lr_decoder: 0.016105, Accuracy: 67.86, IOU: 0.001440 Loss: 0.385233
Epoch: [5][160/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016068, lr_decoder: 0.016068, Accuracy: 68.22, IOU: 0.001462 Loss: 0.375146
Epoch: [5][180/500], Time: 0.52, Data: 0.04, lr_encoder: 0.016031, lr_decoder: 0.016031, Accuracy: 69.08, IOU: 0.001458 Loss: 0.376702
Epoch: [5][200/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015994, lr_decoder: 0.015994, Accuracy: 69.60, IOU: 0.001512 Loss: 0.363241
Epoch: [5][220/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015957, lr_decoder: 0.015957, Accuracy: 69.48, IOU: 0.001506 Loss: 0.356716
Epoch: [5][240/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015920, lr_decoder: 0.015920, Accuracy: 69.94, IOU: 0.001548 Loss: 0.355049
Epoch: [5][260/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015884, lr_decoder: 0.015884, Accuracy: 70.18, IOU: 0.001538 Loss: 0.356116
Epoch: [5][280/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015847, lr_decoder: 0.015847, Accuracy: 70.17, IOU: 0.001565 Loss: 0.357393
Epoch: [5][300/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015810, lr_decoder: 0.015810, Accuracy: 70.59, IOU: 0.001606 Loss: 0.351029
Epoch: [5][320/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015773, lr_decoder: 0.015773, Accuracy: 71.19, IOU: 0.001654 Loss: 0.345558
Epoch: [5][340/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015736, lr_decoder: 0.015736, Accuracy: 71.51, IOU: 0.001637 Loss: 0.351943
Epoch: [5][360/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015699, lr_decoder: 0.015699, Accuracy: 71.65, IOU: 0.001644 Loss: 0.348727
Epoch: [5][380/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015662, lr_decoder: 0.015662, Accuracy: 71.93, IOU: 0.001663 Loss: 0.344164
Epoch: [5][400/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015625, lr_decoder: 0.015625, Accuracy: 72.00, IOU: 0.001679 Loss: 0.338387
Epoch: [5][420/500], Time: 0.51, Data: 0.04, lr_encoder: 0.015588, lr_decoder: 0.015588, Accuracy: 72.35, IOU: 0.001727 Loss: 0.331020
Epoch: [5][440/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015551, lr_decoder: 0.015551, Accuracy: 72.76, IOU: 0.001720 Loss: 0.332577
Epoch: [5][460/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015514, lr_decoder: 0.015514, Accuracy: 72.96, IOU: 0.001700 Loss: 0.335916
Epoch: [5][480/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015477, lr_decoder: 0.015477, Accuracy: 72.92, IOU: 0.001697 Loss: 0.333606
Saving checkpoints...
Epoch: [6][0/500], Time: 0.59, Data: 0.00, lr_encoder: 0.015440, lr_decoder: 0.015440, Accuracy: 81.62, IOU: 0.000000 Loss: 0.411927
Epoch: [6][20/500], Time: 0.58, Data: 0.05, lr_encoder: 0.015403, lr_decoder: 0.015403, Accuracy: 77.32, IOU: 0.002140 Loss: 0.326806
Epoch: [6][40/500], Time: 0.54, Data: 0.04, lr_encoder: 0.015366, lr_decoder: 0.015366, Accuracy: 78.51, IOU: 0.001754 Loss: 0.320790
Epoch: [6][60/500], Time: 0.54, Data: 0.04, lr_encoder: 0.015328, lr_decoder: 0.015328, Accuracy: 77.10, IOU: 0.001687 Loss: 0.324401
Epoch: [6][80/500], Time: 0.53, Data: 0.04, lr_encoder: 0.015291, lr_decoder: 0.015291, Accuracy: 77.68, IOU: 0.001669 Loss: 0.319148
Epoch: [6][100/500], Time: 0.53, Data: 0.04, lr_encoder: 0.015254, lr_decoder: 0.015254, Accuracy: 76.30, IOU: 0.001759 Loss: 0.317741
Epoch: [6][120/500], Time: 0.53, Data: 0.04, lr_encoder: 0.015217, lr_decoder: 0.015217, Accuracy: 76.77, IOU: 0.001822 Loss: 0.320795
Epoch: [6][140/500], Time: 0.53, Data: 0.04, lr_encoder: 0.015180, lr_decoder: 0.015180, Accuracy: 77.18, IOU: 0.001832 Loss: 0.312638
Epoch: [6][160/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015143, lr_decoder: 0.015143, Accuracy: 76.96, IOU: 0.001824 Loss: 0.305056
Epoch: [6][180/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015106, lr_decoder: 0.015106, Accuracy: 76.90, IOU: 0.001894 Loss: 0.306274
Epoch: [6][200/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015069, lr_decoder: 0.015069, Accuracy: 77.14, IOU: 0.001892 Loss: 0.297393
Epoch: [6][220/500], Time: 0.52, Data: 0.04, lr_encoder: 0.015031, lr_decoder: 0.015031, Accuracy: 77.62, IOU: 0.002024 Loss: 0.287700
Epoch: [6][240/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014994, lr_decoder: 0.014994, Accuracy: 78.24, IOU: 0.002133 Loss: 0.284362
Epoch: [6][260/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014957, lr_decoder: 0.014957, Accuracy: 78.15, IOU: 0.002162 Loss: 0.283551
Epoch: [6][280/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014920, lr_decoder: 0.014920, Accuracy: 78.27, IOU: 0.002167 Loss: 0.284350
Epoch: [6][300/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014883, lr_decoder: 0.014883, Accuracy: 78.11, IOU: 0.002199 Loss: 0.283091
Epoch: [6][320/500], Time: 0.51, Data: 0.04, lr_encoder: 0.014846, lr_decoder: 0.014846, Accuracy: 78.11, IOU: 0.002248 Loss: 0.278717
Epoch: [6][340/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014808, lr_decoder: 0.014808, Accuracy: 78.45, IOU: 0.002272 Loss: 0.275167
Epoch: [6][360/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014771, lr_decoder: 0.014771, Accuracy: 78.40, IOU: 0.002280 Loss: 0.273297
Epoch: [6][380/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014734, lr_decoder: 0.014734, Accuracy: 78.54, IOU: 0.002267 Loss: 0.276166
Epoch: [6][400/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014697, lr_decoder: 0.014697, Accuracy: 78.87, IOU: 0.002323 Loss: 0.275957
Epoch: [6][420/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014659, lr_decoder: 0.014659, Accuracy: 79.25, IOU: 0.002325 Loss: 0.274961
Epoch: [6][440/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014622, lr_decoder: 0.014622, Accuracy: 79.35, IOU: 0.002338 Loss: 0.272678
Epoch: [6][460/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014585, lr_decoder: 0.014585, Accuracy: 79.60, IOU: 0.002364 Loss: 0.269022
Epoch: [6][480/500], Time: 0.52, Data: 0.04, lr_encoder: 0.014548, lr_decoder: 0.014548, Accuracy: 79.46, IOU: 0.002394 Loss: 0.269020
Saving checkpoints...
Epoch: [7][0/500], Time: 0.42, Data: 0.00, lr_encoder: 0.014510, lr_decoder: 0.014510, Accuracy: 69.29, IOU: 0.001227 Loss: 0.352183
